Sales
product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_type_2
P0086,S0001,1/2/17,1,2.41,20,2.6,PR14,PR03
P0087,S0002,1/2/17,1,2.41,19,2.6,PR14,PR03
P0088,S0003,1/2/17,0,0,5,2.6,PR14,PR03
P0089,S0004,1/2/17,0,0,11,2.6,PR14,PR03
P0090,S0008,1/2/17,0,0,6,2.6,PR14,PR03
P0091,S0009,1/2/17,0,0,20,2.6,PR14,PR03
P0092,S0011,1/2/17,0,0,7,2.6,PR14,PR03
P0093,S0012,1/2/17,0,0,6,2.6,PR14,PR03
P0094,S0013,1/2/17,0,0,3,2.6,PR14,PR03
P0095,S0014,1/2/17,0,0,14,2.6,PR14,PR03
P0096,S0016,1/2/17,0,0,16,2.6,PR14,PR03
P0097,S0021,1/2/17,0,0,9,2.6,PR14,PR03
P0098,S0023,1/2/17,0,0,12,2.6,PR14,PR03
P0099,S0024,1/2/17,0,0,16,2.6,PR14,PR03
P0100,S0026,1/2/17,0,0,12,2.6,PR14,PR03
P0101,S0030,1/2/17,0,0,4,2.6,PR14,PR03
P0102,S0031,1/2/17,0,0,15,2.6,PR14,PR03
P0103,S0032,1/2/17,1,2.41,14,2.6,PR14,PR03
P0104,S0033,1/2/17,0,0,2,2.6,PR14,PR03
P0105,S0034,1/2/17,0,0,9,2.6,PR14,PR03
P0106,S0035,1/2/17,0,0,8,2.6,PR14,PR03
P0107,S0038,1/2/17,0,0,18,2.6,PR14,PR03
P0108,S0039,1/2/17,0,0,6,2.6,PR14,PR03
P0109,S0040,1/2/17,1,2.41,10,2.6,PR14,PR03
P0110,S0043,1/2/17,0,0,3,2.6,PR14,PR03
P0111,S0049,1/2/17,0,0,15,2.6,PR14,PR03
P0112,S0050,1/2/17,0,0,5,2.6,PR14,PR03
P0113,S0051,1/2/17,0,0,18,2.6,PR14,PR03
P0114,S0053,1/2/17,0,0,5,2.6,PR14,PR03
P0115,S0054,1/2/17,0,0,8,2.6,PR14,PR03
P0116,S0055,1/2/17,0,0,10,2.6,PR14,PR03
P0117,S0056,1/2/17,0,0,6,2.6,PR14,PR03
P0118,S0062,1/2/17,0,0,24,2.6,PR14,PR03
P0119,S0063,1/2/17,0,0,5,2.6,PR14,PR03
P0120,S0066,1/2/17,0,0,22,2.6,PR14,PR03
P0121,S0067,1/2/17,0,0,12,2.6,PR14,PR03
P0122,S0068,1/2/17,1,2.41,13,2.6,PR14,PR03
P0123,S0070,1/2/17,0,0,6,2.6,PR14,PR03
P0124,S0074,1/2/17,0,0,7,2.6,PR14,PR03
P0125,S0077,1/2/17,0,0,1,2.6,PR14,PR03
P0126,S0078,1/2/17,0,0,3,2.6,PR14,PR03
